# ============================================================
# 网吧自动化 v3.0 配置模板
# ============================================================
#
# 【使用说明】
# 1. 每行代表一个设备或关联
# 2. 同一房间可以有多行（多台电脑、多个灯光）
# 3. 在Excel中编辑，然后全选复制粘贴到集成配置
#
# 【列说明】
# room_name      - 房间名称（必填）相同房间名会被归为一组
# ip_address     - 电脑IP地址（必填）系统自动创建 device_tracker.netcafe_192_168_1_xx
# climate_entity - 空调实体ID（可选）留空表示不控制，填写已存在的实体如 climate.ac_38
# light_entity   - 灯光实体ID（可选）可以多行添加多个灯光
# cover_entity   - 窗帘实体ID（可选）一般一个房间一个窗帘
#
# 【填写规则】
# - 有几台电脑就写几行IP地址
# - 空调/窗帘只需在任意一行填写一次（推荐在第一行）
# - 灯光可以分多行填写（每行一个灯光），或在一行填写多个（用分号分隔）
# - 留空的列用空格或直接空着即可
#
# 【示例说明】
# 双包38：2台电脑、1个空调、3个灯光、1个窗帘
# 单间40：1台电脑、1个空调、2个灯光、无窗帘
# 三人包50：3台电脑、1个空调、5个灯光、1个窗帘
#
# 【自动创建的实体】
# 系统会根据IP自动创建 device_tracker.netcafe_<ip地址>
# 例如：192.168.1.38 → device_tracker.netcafe_192_168_1_38
#
# 【触发逻辑】
# - 任一电脑上线 → 自动开灯、开空调、开窗帘
# - 所有电脑离线 → 延迟100秒后关闭所有设备
#
# ============================================================
# 以下是标题行，必须保留！从下一行开始填写数据
# ============================================================
room_name,ip_address,climate_entity,light_entity,cover_entity
双包38,192.168.1.38,climate.ac_38,,cover.curtain_38
双包38,192.168.1.39,,light.light_38_main,
双包38,,,light.light_38_desk,
双包38,,,light.light_38_wall,
单间40,192.168.1.40,climate.ac_40,light.light_40_ceiling,
单间40,,,light.light_40_desk,
三人包50,192.168.1.50,climate.ac_50,,cover.curtain_50
三人包50,192.168.1.51,,,
三人包50,192.168.1.52,,,
三人包50,,,light.light_50_main,
三人包50,,,light.light_50_side1,
三人包50,,,light.light_50_side2,
三人包50,,,light.light_50_desk1,
三人包50,,,light.light_50_desk2
